date,regime,volatility,drawdown,trend_signal,risk_multiplier,benchmark,detection_method
2020-10-16,1,0.20467709899807895,0.0,1,1.0,A,rules
2020-10-19,1,0.20341970591195543,-0.011340206185567085,1,1.0,A,rules
2020-10-20,1,0.20355501712125085,-0.010215557638238082,1,1.0,A,rules
2020-10-21,1,0.192817939011339,-0.01752577319587633,1,1.0,A,rules
2020-10-22,1,0.19564460962500513,0.0,1,1.0,A,rules
2020-10-23,1,0.19635811598448785,-0.005619556055071596,1,1.0,A,rules
2020-10-26,1,0.1993608679353041,-0.020043083263088887,1,1.0,A,rules
2020-10-27,1,0.20252538635281095,-0.0068371265336704115,1,1.0,A,rules
2020-10-28,0,0.2552165519151919,-0.047859885735693546,1,0.5,A,rules
2020-10-29,0,0.25532258271952607,-0.04448815210265056,1,0.5,A,rules
2020-10-30,0,0.25104021932918597,-0.0438325372295588,1,0.5,A,rules
2020-11-02,0,0.2506588739485225,-0.014329867940432717,1,0.5,A,rules
2020-11-03,1,0.24958510840957715,0.0,1,1.0,A,rules
2020-11-04,1,0.24253427641133427,0.0,1,1.0,A,rules
2020-11-05,1,0.24814565705277852,0.0,1,1.0,A,rules
2020-11-06,0,0.25167599592221374,0.0,1,0.5,A,rules
2020-11-09,0,0.2509407552603642,-0.00035542918073579394,1,0.5,A,rules
2020-11-10,0,0.26468719426562864,-0.020792607073040727,1,0.5,A,rules
2020-11-11,0,0.2661036681840377,-0.027812333392571616,1,0.5,A,rules
2020-11-12,0,0.2661843048700277,-0.0275457615070198,1,0.5,A,rules
2020-11-13,0,0.26361007178528334,-0.02105917895859254,1,0.5,A,rules
2020-11-16,0,0.25910034136143006,-0.020170606006753244,1,0.5,A,rules
2020-11-17,0,0.2599724225049057,-0.02381375510929453,1,0.5,A,rules
2020-11-18,0,0.2910469331129877,-0.05855695752621293,1,0.5,A,rules
2020-11-19,0,0.2979991207259833,-0.03429891594099875,1,0.5,A,rules
2020-11-20,0,0.3044595769959441,-0.01466145370534926,1,0.5,A,rules
2020-11-23,0,0.29945526591221394,-0.002932290741069953,1,0.5,A,rules
2020-11-24,0,0.30464927907485345,0.0,1,0.5,A,rules
2020-11-25,0,0.25521249085486636,-0.002877572375305306,1,0.5,A,rules
2020-11-27,0,0.25679195142255284,-0.005144750610394169,1,0.5,A,rules
2020-11-30,0,0.2645020743898693,0.0,1,0.5,A,rules
2020-12-01,0,0.2577639193392875,-0.013173652694610832,1,0.5,A,rules
2020-12-02,0,0.25659528458067893,-0.019931565440547583,1,0.5,A,rules
2020-12-03,0,0.2571440414129395,-0.028400342172797324,1,0.5,A,rules
2020-12-04,0,0.2549529301369489,-0.014970059880239521,1,0.5,A,rules
2020-12-07,1,0.24781386355032864,-0.0213857998289136,1,1.0,A,rules
2020-12-08,0,0.25958122208914775,0.0,1,0.5,A,rules
2020-12-09,1,0.24738464760122308,-0.0052132296384924314,1,1.0,A,rules
